"TIME","GEO","SEX","AGE","Value","Flag and Footnotes"
"2010","Ireland","Total","From 15 to 64 years","32.8",""
"2001","Greece","Total","From 15 to 64 years","14.4",""
"2002","Greece","Total","From 15 to 64 years","15.2",""
"2003","Greece","Total","From 15 to 64 years","15.7",""
"2004","Greece","Total","From 15 to 64 years","17.6",""
"2005","Greece","Total","From 15 to 64 years","17.7",""
"2006","Greece","Total","From 15 to 64 years","18.7",""
"2007","Greece","Total","From 15 to 64 years","19.2",""
"2008","Greece","Total","From 15 to 64 years","19.8",""
"2009","Greece","Total","From 15 to 64 years","20.0",""
"2010","Greece","Total","From 15 to 64 years","21.0",""
"2001","Spain","Total","From 15 to 64 years","22.0",""
"2002","Spain","Total","From 15 to 64 years","22.6",""
"2003","Spain","Total","From 15 to 64 years","23.2",""
"2004","Spain","Total","From 15 to 64 years","24.1",""
"2005","Spain","Total","From 15 to 64 years","25.8",""
"2006","Spain","Total","From 15 to 64 years","26.1",""
"2007","Spain","Total","From 15 to 64 years","26.5",""
"2008","Spain","Total","From 15 to 64 years","26.8",""
"2009","Spain","Total","From 15 to 64 years","27.1",""
"2010","Spain","Total","From 15 to 64 years","28.1",""
"2001","France","Total","From 15 to 64 years","20.7",""
"2002","France","Total","From 15 to 64 years","21.5",""
"2003","France","Total","From 15 to 64 years","22.0","p"
"2004","France","Total","From 15 to 64 years","22.4","p"
"2005","France","Total","From 15 to 64 years","23.4",""
"2006","France","Total","From 15 to 64 years","24.0",""
"2007","France","Total","From 15 to 64 years","24.4",""
"2008","France","Total","From 15 to 64 years","24.9",""
"2009","France","Total","From 15 to 64 years","26.1",""
"2010","France","Total","From 15 to 64 years","26.3",""
"2001","Italy","Total","From 15 to 64 years","8.3",""
"2002","Italy","Total","From 15 to 64 years","8.6",""
"2003","Italy","Total","From 15 to 64 years","9.1",""
"2004","Italy","Total","From 15 to 64 years","10.0",""
"2005","Italy","Total","From 15 to 64 years","10.7",""
"2006","Italy","Total","From 15 to 64 years","11.4",""
"2007","Italy","Total","From 15 to 64 years","12.0",""
"2008","Italy","Total","From 15 to 64 years","12.7",""
"2009","Italy","Total","From 15 to 64 years","12.8",""
"2010","Italy","Total","From 15 to 64 years","13.0",""
"2001","Cyprus","Total","From 15 to 64 years","23.6",""
"2002","Cyprus","Total","From 15 to 64 years","25.7",""
"2003","Cyprus","Total","From 15 to 64 years","26.1",""
"2004","Cyprus","Total","From 15 to 64 years","25.7",""
"2005","Cyprus","Total","From 15 to 64 years","25.7",""
"2006","Cyprus","Total","From 15 to 64 years","27.6",""
"2007","Cyprus","Total","From 15 to 64 years","29.7",""
"2008","Cyprus","Total","From 15 to 64 years","31.0",""
"2009","Cyprus","Total","From 15 to 64 years","30.9",""
"2010","Cyprus","Total","From 15 to 64 years","32.3",""
"2001","Latvia","Total","From 15 to 64 years","15.2","i"
"2002","Latvia","Total","From 15 to 64 years","16.2","b"
"2003","Latvia","Total","From 15 to 64 years","15.1",""
"2004","Latvia","Total","From 15 to 64 years","16.7",""
"2005","Latvia","Total","From 15 to 64 years","17.1",""
"2006","Latvia","Total","From 15 to 64 years","17.6",""
"2007","Latvia","Total","From 15 to 64 years","18.8",""
"2008","Latvia","Total","From 15 to 64 years","21.0",""
"2009","Latvia","Total","From 15 to 64 years","21.7",""
"2010","Latvia","Total","From 15 to 64 years","22.5",""
"2001","Lithuania","Total","From 15 to 64 years","19.2",""
"2002","Lithuania","Total","From 15 to 64 years","19.0","b"
"2003","Lithuania","Total","From 15 to 64 years","19.8",""
"2004","Lithuania","Total","From 15 to 64 years","21.2",""
"2005","Lithuania","Total","From 15 to 64 years","22.0",""
"2006","Lithuania","Total","From 15 to 64 years","22.4",""
"2007","Lithuania","Total","From 15 to 64 years","24.1",""
"2008","Lithuania","Total","From 15 to 64 years","25.4",""
"2009","Lithuania","Total","From 15 to 64 years","25.5",""
"2010","Lithuania","Total","From 15 to 64 years","27.0",""
"2001","Luxembourg","Total","From 15 to 64 years","16.0",""
"2002","Luxembourg","Total","From 15 to 64 years","16.2",""
"2003","Luxembourg","Total","From 15 to 64 years","12.6","b"
"2004","Luxembourg","Total","From 15 to 64 years","20.8",""
"2005","Luxembourg","Total","From 15 to 64 years","23.0",""
"2006","Luxembourg","Total","From 15 to 64 years","20.5",""
"2007","Luxembourg","Total","From 15 to 64 years","22.7",""
"2008","Luxembourg","Total","From 15 to 64 years","23.7",""
"2009","Luxembourg","Total","From 15 to 64 years","30.2","p"
"2010","Luxembourg","Total","From 15 to 64 years","30.3","p"
"2001","Hungary","Total","From 15 to 64 years","11.7",""
"2002","Hungary","Total","From 15 to 64 years","12.1",""
"2003","Hungary","Total","From 15 to 64 years","13.1","b"
"2004","Hungary","Total","From 15 to 64 years","14.2",""
"2005","Hungary","Total","From 15 to 64 years","14.5",""
